0,Pseudomonas viridiflava
1,Campylobacter jejuni
2,Acinetobacter junii
3,Candida tropicalis
4,Streptococcus gordonii
5,Actinomyces naeslundii
6,Alternaria brassicicola
7,Pediococcus pentosaceus
8,Streptococcus pyogenes
9,Clostridium botulinum
10,Candida dubliniensis
11,Corynebacterium jeikeium
12,Penicillium expansum
13,Veillonella atypica
14,Staphylococcus hominis
15,Staphylococcus xylosus
16,Pseudomonas stutzeri
17,Streptococcus anginosus
18,Mycoplasma hominis
19,Bacillus megaterium
20,Blautia coccoides
21,Staphylococcus warneri
22,Lactobacillus gasseri
23,Streptococcus intermedius
24,Fusarium solani
25,Klebsiella oxytoca
26,Bacillus licheniformis
27,Pseudomonas aeruginosa
28,Pseudomonas fluorescens
29,HSV-1
30,Streptococcus salivarius
31,Bacteroides thetaiotaomicron
32,Cutibacterium acnes
33,Streptococcus equi
34,Staphylococcus aureus
35,Lactococcus garvieae
36,Micrococcus luteus
37,Mycobacterium vaccae
38,Mycobacterium tuberculosis
39,Actinomyces viscosus
40,Lactococcus lactis
41,Streptococcus agalactiae
42,Moraxella catarrhalis
43,Prevotella intermedia
44,Cryptococcus neoformans
45,Actinomyces israelii
46,Bacteroides fragilis
47,Enterobacter asburiae
48,Streptococcus mutans
49,Aspergillus niger
50,Streptococcus pneumoniae
51,Corynebacterium striatum
52,Streptococcus oralis
53,Rhizopus oryzae
54,Mycobacterium fortuitum
55,Debaryomyces hansenii
56,Pseudomonas putida
57,Gardnerella vaginalis
58,Candida glabrata
59,Ureaplasma urealyticum
60,Nocardia asteroides
61,Acinetobacter baumannii
62,Burkholderia cepacia
63,Aspergillus flavus
64,Enterococcus faecium
65,Rhodotorula mucilaginosa
66,Streptococcus parasanguinis
67,Streptococcus mitis
68,Clostridioides difficile
69,Aureobasidium pullulans
70,Malassezia sympodialis
71,Salmonella enterica
72,Clostridium perfringens
73,Delftia acidovorans
74,Neisseria gonorrhoeae
75,Streptococcus sanguinis
76,Candida albicans
77,Acinetobacter guillouiae
78,Corynebacterium accolens
79,Serratia marcescens
80,Malassezia furfur
81,Lactobacillus delbrueckii
82,Helicobacter pylori
83,Corynebacterium simulans
84,Candida auris
85,Escherichia coli
86,Aggregatibacter actinomycetemcomitans
87,Aspergillus fumigatus
88,Ralstonia solanacearum
89,Streptococcus constellatus
90,Enterobacter cloacae
91,Citrobacter koseri
92,Saccharomyces cerevisiae
93,Clostridium spiroforme
94,Bifidobacterium adolescentis
95,Haemophilus influenzae
96,Enterococcus faecalis
97,Acinetobacter calcoaceticus
98,Staphylococcus epidermidis
99,Fusobacterium necrophorum
100,Acinetobacter johnsonii
101,Streptococcus alactolyticus
102,Peptostreptococcus micros
103,Staphylococcus capitis
104,Parvimonas micra
105,Neisseria lactamica
106,Bacillus coagulans
107,Peptostreptococcus anaerobius
108,Fusobacterium nucleatum
109,Enterococcus hirae
110,Porphyromonas gingivalis
111,Fusobacterium varium
112,Streptococcus lutetiensis
113,Mycobacterium phlei
114,Neisseria meningitidis
115,Mycoplasma genitalium
116,Shigella sonnei
117,Clavibacter michiganensis
118,Prevotella melaninogenica
119,Clostridium tertium
120,Enterococcus casseliflavus
121,Neisseria mucosa
122,Streptococcus sobrinus
123,Neisseria cinerea
124,Enterococcus durans
125,Klebsiella pneumoniae
126,Bifidobacterium longum
127,Shigella flexneri
128,Lactobacillus acidophilus
129,Ralstonia pickettii
130,Alternaria alternata
